"company","job_link","role","location","location_link","remote/on-site","compensation","link","quick_apply"
"Aerzen USA Corporation","https://www.ziprecruiter.com/co/Aerzen-USA-Corporation/Jobs/-in-Coatesville,PA?uuid=cJc6zJniUBrIAA7knnvzivlD2zY%3D&radius=25","Data Analyst","Coatesville, PA","https://www.ziprecruiter.com/jobs-search?location=Coatesville%2CPA&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/a66576c3.png",""
"Alphalion","https://www.ziprecruiter.com/co/Alphalion/Jobs?uuid=&radius=25","Data Engineer 100% Remote","OR","https://www.ziprecruiter.com/jobs-search?location=Oregon&search=Data","· Remote","$50K - $70K/yr","",""
"ABC Legal Services","https://www.ziprecruiter.com/co/ABC-Legal-Services/Jobs?uuid=e%2F1JA6Sbsq5SJEOto6AT4tSa1Fc%3D&radius=25","Data Entry Specialist, Remote","Louisiana, MO","https://www.ziprecruiter.com/jobs-search?location=Louisiana%2CMO&search=Data","· Remote","$15 - $17/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/f6fdfbbf.png",""
"Dynanet Corporation","https://www.ziprecruiter.com/co/Dynanet-Corporation/Jobs?uuid=vVfSxeYJP2crKkVbpXvZJn%2BKa5s%3D&radius=25","Data Insights Analyst","MD","https://www.ziprecruiter.com/jobs-search?location=Maryland&search=Data","· Remote","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/3ccc21ea.png",""
"North American Lighting","https://www.ziprecruiter.com/co/North-American-Lighting/Jobs/-in-Paris,IL?uuid=JRu8IXJKAgPogLUmeojSBUP8wEU%3D&radius=25","Data Analyst - Sr","Paris, IL","https://www.ziprecruiter.com/jobs-search?location=Paris%2CIL&search=Data","· On-site +1","$68.20K - $94.40K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/36007358.png",""
"Logic Technology Consulting Group","https://www.ziprecruiter.com/co/Logic-Technology-Consulting-Group/Jobs?uuid=QjhrambFPsaOGb7LbCGWCViySQk%3D&radius=25","Remote Data Entry","Charlotte, NC","https://www.ziprecruiter.com/jobs-search?location=Charlotte%2CNC&search=Data","· Remote","$17.50 - $23.25/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/20cfbc51.png","Quick apply"
"Merative","https://www.ziprecruiter.com/co/Merative/Jobs?uuid=seg6DjupefOPZCIkV5Fq3oiELWo%3D&radius=25","Data Analyst - Entry Level","","","","$45.60K - $68.40K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/8e758227.png",""
"Huntington Ingalls Industries","https://www.ziprecruiter.com/co/Huntington-Ingalls-Industries/Jobs/-in-Arlington,VA?uuid=RvQaLxtTDhRYZa4VcP4NxNjTCEA%3D&radius=25","DoW DSCA Data Analyst 2 (Remote) - 27808","Arlington, VA","https://www.ziprecruiter.com/jobs-search?location=Arlington%2CVA&search=Data","· On-site +1","$85K - $135K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/5a69e4bd.png",""
"Knollwood Healthcare","https://www.ziprecruiter.com/co/Knollwood-Healthcare/Jobs?uuid=fEMUwLGSEmqAMoSbvfn0qf2yZ1A%3D&radius=25","Data Entry Clerk/ CSR","Mobile, AL","https://www.ziprecruiter.com/jobs-search?location=Mobile%2CAL&search=Data","· Remote","$17 - $22/hr","","Quick apply"
"Catholic Health","https://www.ziprecruiter.com/co/Catholic-Health/Jobs/-in-Melville,NY?uuid=ZL6zV65sUaLrLLMiT2d52GgSW8o%3D&radius=25","EMPI Data Analyst","Melville, NY","https://www.ziprecruiter.com/jobs-search?location=Melville%2CNY&search=Data","· On-site +1","$60K - $75K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/c806d307.png",""
"NETLI INC","https://www.ziprecruiter.com/co/NETLI-INC/Jobs?uuid=&radius=25","Experienced Virtual Data Entry Clerk","MA","https://www.ziprecruiter.com/jobs-search?location=Massachusetts&search=Data","· Remote","$18.50 - $24.75/hr","",""
"Purecars","https://www.ziprecruiter.com/co/Purecars/Jobs?uuid=l4MeHZ6XsJT2L7FkM4%2BXxZeqSmo%3D&radius=25","Data Strategy Analyst, Enterprise","Atlanta, GA","https://www.ziprecruiter.com/jobs-search?location=Atlanta%2CGA&search=Data","· Remote","$100K - $125K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/9483f157.png",""
"Cambium Learning Group","https://www.ziprecruiter.com/co/Cambium-Learning-Group/Jobs/-in-Dallas,TX?uuid=h%2BDNqnPUn4OoFWRRCoTsTLoektU%3D&radius=25","Data Analyst","Dallas, TX","https://www.ziprecruiter.com/jobs-search?location=Dallas%2CTX&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/bfe6d842.png",""
"Mercy","https://www.ziprecruiter.com/co/Mercy/Jobs/-in-Fort-Smith,AR?uuid=b8WwW6qJvlKC8f0p411otUk6EWk%3D&radius=25","Oncology Data Specialist - Remote - Fort Smith","Fort Smith, AR","https://www.ziprecruiter.com/jobs-search?location=Fort+Smith%2CAR&search=Data","· On-site +1","$14.75 - $19.75/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/6470a63e.png",""
"Techywhiz","https://www.ziprecruiter.com/co/Techywhiz/Jobs/-in-New-Orleans,LA?uuid=&radius=25","Data Analyst","New Orleans, LA","https://www.ziprecruiter.com/jobs-search?location=New+Orleans%2CLA&search=Data","· On-site +1","","",""
"KGS Technology Group Inc","https://www.ziprecruiter.com/co/KGS-Technology-Group-Inc/Jobs/-in-Alpharetta,GA?uuid=OMGcIJwRCguoc1DkTZIUTA6zHyg%3D&radius=25","Data Analyst","Alpharetta, GA","https://www.ziprecruiter.com/jobs-search?location=Alpharetta%2CGA&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/021a26a2.png",""
"The Reynolds and Reynolds Company","https://www.ziprecruiter.com/co/The-Reynolds-and-Reynolds-Company/Jobs/-in-Dayton,OH?uuid=8%2FdMR1mX%2BJxatIsLR830qhnLsho%3D&radius=25","Data Analyst","Dayton, OH","https://www.ziprecruiter.com/jobs-search?location=Dayton%2COH&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/4190ab1f.png",""
"Truvani","https://www.ziprecruiter.com/co/Truvani/Jobs?uuid=&radius=25","eCommerce Data Analyst - REMOTE","Miami, FL","https://www.ziprecruiter.com/jobs-search?location=Miami%2CFL&search=Data","· Remote","","",""
"Moore","https://www.ziprecruiter.com/co/Moore/Jobs?uuid=c60lDCJX6zVIlZjHxNWVF1HjRiQ%3D&radius=25","Data Analyst","Lanham, MD","https://www.ziprecruiter.com/jobs-search?location=Lanham%2CMD&search=Data","· Remote","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/147ff408.png",""
"Xbow Careers","https://www.ziprecruiter.com/co/Xbow-Careers/Jobs?uuid=&radius=25","Data Analyst","","","","","",""
"INTEGRATED FEDERAL SOLUTIONS, INC.","https://www.ziprecruiter.com/co/INTEGRATED-FEDERAL-SOLUTIONS,-INC./Jobs/-in-Huntsville,AL?uuid=cd4AjoXHjdPBe7C6PCzprte6ELE%3D&radius=25","Data Analyst (Secret Clearance Required)","Huntsville, AL","https://www.ziprecruiter.com/jobs-search?location=Huntsville%2CAL&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/b277fc0b.png",""
"State of Maryland - Department of Social and Economic Mobility","https://www.ziprecruiter.com/co/State-of-Maryland---Department-of-Social-and-Economic-Mobility/Jobs/-in-Anne-Arundel,MD?uuid=&radius=25","DATA ANALYST","Anne Arundel, MD","https://www.ziprecruiter.com/jobs-search?location=Anne+Arundel%2CMD&search=Data","· On-site +1","","",""
"Spring Health","https://www.ziprecruiter.com/co/Spring-Health/Jobs/-in-San-Francisco,CA?uuid=%2BvWCz2EkVy2C%2FfC4pXQXjUXtcKM%3D&radius=25","Data Analyst II, Customer Reporting","San Francisco, CA","https://www.ziprecruiter.com/jobs-search?location=San+Francisco%2CCA&search=Data","· On-site +1","$125K - $142K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/94906fd6.png",""
"Tiffin University","https://www.ziprecruiter.com/co/Tiffin-University/Jobs?uuid=DXtKRCnTbl3mHt2B%2BcR3Qy2L8y8%3D&radius=25","Data Analyst","Tiffin, OH","https://www.ziprecruiter.com/jobs-search?location=Tiffin%2COH&search=Data","· Remote","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/278a41a6.png",""
"Contexture","https://www.ziprecruiter.com/co/Contexture/Jobs/-in-Phoenix,AZ?uuid=c5v1hf33rso2x4tcCT8LbbDYxXc%3D&radius=25","Senior Data Visualizations Analyst","Phoenix, AZ","https://www.ziprecruiter.com/jobs-search?location=Phoenix%2CAZ&search=Data","· On-site +1","$6.25K - $7.25K/mo","",""
"RTO National","https://www.ziprecruiter.com/co/RTO-National/Jobs?uuid=fDRY55nNZAm1149OG7wAuRvdODw%3D&radius=25","Data Analyst","Greenville, SC","https://www.ziprecruiter.com/jobs-search?location=Greenville%2CSC&search=Data","· Remote","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/130e6348.png",""
"Talkspace Corporate","https://www.ziprecruiter.com/co/Talkspace-Corporate/Jobs/-in-New-York,NY?uuid=NN%2Bvfshl%2Bt7Z37XPdSc63Y%2FfAb4%3D&radius=25","Data Analyst","New York, NY","https://www.ziprecruiter.com/jobs-search?location=New+York%2CNY&search=Data","· On-site +1","$110K - $130K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/027363d8.png",""
"Verve For Advertisers","https://www.ziprecruiter.com/co/Verve-For-Advertisers/Jobs/-in-New-York,NY?uuid=&radius=25","Data Engineer (Remote / Contract)","New York, NY","https://www.ziprecruiter.com/jobs-search?location=New+York%2CNY&search=Data","· On-site +1","$30 - $50/hr","",""
"Hearst","https://www.ziprecruiter.com/co/Hearst/Jobs/-in-Dallas,TX?uuid=36LRqYX52RlN2iTN8lLdbEdwO90%3D&radius=25","Data and Automation Analyst 2","Dallas, TX","https://www.ziprecruiter.com/jobs-search?location=Dallas%2CTX&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/36a25bff.png",""
"Hchb","https://www.ziprecruiter.com/co/Hchb/Jobs/-in-Dallas,TX?uuid=&radius=25","Data and Automation Analyst 2","Dallas, TX","https://www.ziprecruiter.com/jobs-search?location=Dallas%2CTX&search=Data","· On-site +1","","",""
"Millennial Ventures HQ","https://www.ziprecruiter.com/co/Millennial-Ventures-HQ/Jobs?uuid=&radius=25","Data Analyst (Remote)","Philadelphia, PA","https://www.ziprecruiter.com/jobs-search?location=Philadelphia%2CPA&search=Data","· Remote","","",""
"ITTConnect","https://www.ziprecruiter.com/co/ITTConnect/Jobs?uuid=Ib%2F8i8%2BL9WR%2BhY1Te9ych%2B4NWl8%3D&radius=25","Data Analyst (Neo4j)","Atlanta, GA","https://www.ziprecruiter.com/jobs-search?location=Atlanta%2CGA&search=Data","· Remote","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/1f50b2e1.png",""
"Prominence Advisors","https://www.ziprecruiter.com/co/Prominence-Advisors/Jobs?uuid=XfFG9nU7BznTOyx093%2FroqJ3Ldc%3D&radius=25","Data Strategy Analyst","Columbia, SC","https://www.ziprecruiter.com/jobs-search?location=Columbia%2CSC&search=Data","· Remote","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/569a289b.png",""
"MSSI","https://www.ziprecruiter.com/co/MSSI/Jobs/-in-Huntsville,AL?uuid=5babIgXg8hKs4LSKre%2F54rw5sBA%3D&radius=25","Data Analyst (Aviation AH)","Huntsville, AL","https://www.ziprecruiter.com/jobs-search?location=Huntsville%2CAL&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/206e76dc.png",""
"SPS","https://www.ziprecruiter.com/co/SPS/Jobs/-in-Huntsville,AL?uuid=8hWEhrry0vwdOta4YbqfDdy%2BJi4%3D&radius=25","Data Analyst (Aviation AH)","Huntsville, AL","https://www.ziprecruiter.com/jobs-search?location=Huntsville%2CAL&search=Data","· On-site +1","","",""
"CEDENT","https://www.ziprecruiter.com/co/CEDENT/Jobs?uuid=KPtAbg%2FxvIA2R5KfNZbWKqLON%2BA%3D&radius=25","Sr Data Analyst","","","","$40 - $60/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/ea4e3a75.png",""
"CRAFTS GROUP LLC","https://www.ziprecruiter.com/co/CRAFTS-GROUP-LLC/Jobs?uuid=kJ3wreAbqrOhJEg8D8%2BmFDxFdSs%3D&radius=25","Data Analyst III","Vancouver, WA","https://www.ziprecruiter.com/jobs-search?location=Vancouver%2CWA&search=Data","· Remote","$90K - $100K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/9c0a084e.png","Quick apply"
"CommonSpirit Health","https://www.ziprecruiter.com/co/CommonSpirit-Health/Jobs?uuid=YTJFxQavXiBi3Az8Lumt6Vqdc%2Fw%3D&radius=25","Provider Network Data Integrity Analyst","Bakersfield, CA","https://www.ziprecruiter.com/jobs-search?location=Bakersfield%2CCA&search=Data","· Remote","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/763d80e3.png",""
"Corewell Health","https://www.ziprecruiter.com/co/Corewell-Health/Jobs/-in-Royal-Oak,MI?uuid=M3Nyrow%2FMV9EURNsmuPC2JwArcQ%3D&radius=25","Oncology Data Analyst","Royal Oak, MI","https://www.ziprecruiter.com/jobs-search?location=Royal+Oak%2CMI&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/5f29a08b.png",""
"MacroSys, LLC","https://www.ziprecruiter.com/co/MacroSys,-LLC/Jobs?uuid=QIPEIfUojC4BepzKUBXUKUKt%2FkM%3D&radius=25","Junior Data Analyst","Washington, DC","https://www.ziprecruiter.com/jobs-search?location=Washington%2CDC&search=Data","· Remote","$50K - $55K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/9fb1a476.jpeg","Quick apply"
"Zantech","https://www.ziprecruiter.com/co/Zantech/Jobs/-in-San-Antonio,TX?uuid=HpKpTBgz0yf%2Bvo58h8OQmip9UDU%3D&radius=25","Data Analyst","San Antonio, TX","https://www.ziprecruiter.com/jobs-search?location=San+Antonio%2CTX&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/c1d5a08f.png",""
"DHARWIN BUSINESS SOLUTIONS LLC","https://www.ziprecruiter.com/co/DHARWIN-BUSINESS-SOLUTIONS-LLC/Jobs?uuid=&radius=25","Data Analyst (STEM OPT - Entry Level)","OR","https://www.ziprecruiter.com/jobs-search?location=Oregon&search=Data","· Remote","","","Quick apply"
"Alabama Credit Union","https://www.ziprecruiter.com/co/Alabama-Credit-Union/Jobs/-in-Tuscaloosa,AL?uuid=dMaSS8MaRvinYKryeX%2FcVSB3Ej0%3D&radius=25","Data Analyst","Tuscaloosa, AL","https://www.ziprecruiter.com/jobs-search?location=Tuscaloosa%2CAL&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/bd4d1536.png",""
"Kansas City University","https://www.ziprecruiter.com/co/Kansas-City-University/Jobs/-in-Kansas-City,KS?uuid=INyr0HeHM54ealqFJNsXcVFGS0c%3D&radius=25","Data Analyst","Kansas City, KS","https://www.ziprecruiter.com/jobs-search?location=Kansas+City%2CKS&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/3c88cc36.png",""
"Ramaker","https://www.ziprecruiter.com/co/Ramaker/Jobs/-in-Madison,WI?uuid=&radius=25","Technology and Data Analyst","Madison, WI","https://www.ziprecruiter.com/jobs-search?location=Madison%2CWI&search=Data","· On-site +1","","",""
"EHOB INC","https://www.ziprecruiter.com/co/EHOB-INC/Jobs/-in-Indianapolis,IN?uuid=UezbNM%2BMAk0pLAaJswfTHapgmpc%3D&radius=25","Operations Data Analyst","Indianapolis, IN","https://www.ziprecruiter.com/jobs-search?location=Indianapolis%2CIN&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/b72e3152.png",""
"The Hertz Corporation","https://www.ziprecruiter.com/co/The-Hertz-Corporation/Jobs/-in-Estero,FL?uuid=EGo9l8GAgpshi1q%2B%2FawSx8%2FlgKs%3D&radius=25","Sr Trust and Safety Data Analyst","Estero, FL","https://www.ziprecruiter.com/jobs-search?location=Estero%2CFL&search=Data","· On-site +1","$75K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/5d80e657.png",""
"Career Site","https://www.ziprecruiter.com/co/Career-Site/Jobs/-in-Washington,DC?uuid=&radius=25","Data Analytics & Engineering Opportunities","Washington, DC","https://www.ziprecruiter.com/jobs-search?location=Washington%2CDC&search=Data","· On-site +1","$65K - $105K/yr","",""
"MSX International","https://www.ziprecruiter.com/co/MSX-International/Jobs?uuid=rdYHJ17et3I8YmyGmvDzMmWl2%2F8%3D&radius=25","Data Analyst","","","","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/0ec132e6.png",""
"HealthEquity","https://www.ziprecruiter.com/co/HealthEquity/Jobs?uuid=I1AQ4TmmxGYPnskK0oLpCdIl3XE%3D&radius=25","Sr Fraud Data Analyst","","","","$72K - $91.50K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/a2f8027f.png",""
"Origami Risk LLC","https://www.ziprecruiter.com/co/Origami-Risk-LLC/Jobs/-in-Chicago,IL?uuid=1ZpE9vhuofZ7ZnuwYvjgmIkykBo%3D&radius=25","(Senior) Corporate Data Analyst","Chicago, IL","https://www.ziprecruiter.com/jobs-search?location=Chicago%2CIL&search=Data","· On-site +1","$67.80K - $101.70K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/61daf387.png",""
"ezCater, Inc","https://www.ziprecruiter.com/co/ezCater,-Inc/Jobs/-in-Boston,MA?uuid=iq4XH5OUf3lW05cRt5Yihrmo%2Buw%3D&radius=25","Data Engineer Intern (Remote)","Boston, MA","https://www.ziprecruiter.com/jobs-search?location=Boston%2CMA&search=Data","· On-site +1","$38 - $45/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/46679fdd.png",""
"Catasys Health","https://www.ziprecruiter.com/co/Catasys-Health/Jobs?uuid=&radius=25","REMOTE Data Analyst","Los Angeles, CA","https://www.ziprecruiter.com/jobs-search?location=Los+Angeles%2CCA&search=Data","· Remote","","",""
"Walter Bacon, LLC","https://www.ziprecruiter.com/co/Walter-Bacon,-LLC/Jobs?uuid=&radius=25","Data Analyst (Life Sciences Specialist) (Direct hire $125-210k)","San Diego, CA","https://www.ziprecruiter.com/jobs-search?location=San+Diego%2CCA&search=Data","· Remote","","",""
"AscellaHealth","https://www.ziprecruiter.com/co/AscellaHealth/Jobs/-in-Berwyn,PA?uuid=nhzENKTLJ5FqpHAufggmXmr4gPE%3D&radius=25","Data Pipeline Analyst","Berwyn, PA","https://www.ziprecruiter.com/jobs-search?location=Berwyn%2CPA&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/ba8fdd95.png",""
"ProSidian Consulting","https://www.ziprecruiter.com/co/ProSidian-Consulting/Jobs/-in-Charlotte,NC?uuid=atcz7%2FogbJY2dWvvmhSDrmNaSfs%3D&radius=25","Data and Policy Analyst","Charlotte, NC","https://www.ziprecruiter.com/jobs-search?location=Charlotte%2CNC&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/cbc1429a.png",""
"Surescripts","https://www.ziprecruiter.com/co/Surescripts/Jobs/-in-Beaverton,OR?uuid=uLpU9bRHJQ5WW%2Bk3dU%2BOqCt6mlE%3D&radius=25","Principal Analytics Analyst - Healthcare Data","Beaverton, OR","https://www.ziprecruiter.com/jobs-search?location=Beaverton%2COR&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/0e3c13bd.png",""
"Catasys Health","https://www.ziprecruiter.com/co/Catasys-Health/Jobs/-in-Los-Angeles,CA?uuid=&radius=25","REMOTE Data Analyst","Los Angeles, CA","https://www.ziprecruiter.com/jobs-search?location=Los+Angeles%2CCA&search=Data","· On-site +1","","",""
"SynaptiCure Inc.","https://www.ziprecruiter.com/co/SynaptiCure-Inc./Jobs?uuid=p0e3QLsnY8qfpNK26pK8ZuEasnc%3D&radius=25","Staff Data Analyst","Boston, MA","https://www.ziprecruiter.com/jobs-search?location=Boston%2CMA&search=Data","· Remote","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/570270b7.png",""
"Trinity Health","https://www.ziprecruiter.com/co/Trinity-Health/Jobs/-in-Boise,ID?uuid=h6QY2SscHR1sPnEjO0Hqkup4eJU%3D&radius=25","Certified Oncology Data Specialist Full-Time hybrid or remote","Boise, ID","https://www.ziprecruiter.com/jobs-search?location=Boise%2CID&search=Data","· On-site +1","$16.25 - $21.75/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/0ab2958f.png",""
"Accelint","https://www.ziprecruiter.com/co/Accelint/Jobs?uuid=&radius=25","Data Analyst IV","","","","$107K - $140K/yr","",""
"HG Insights","https://www.ziprecruiter.com/co/HG-Insights/Jobs?uuid=IRfOaXRgv3yD9rvsFhdFpUkKPgg%3D&radius=25","Sr. Data Acquisition Specialist","","","","$17.50 - $23.25/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/5e6c89d4.png",""
"Groendyke Transport, Inc.","https://www.ziprecruiter.com/co/Groendyke-Transport,-Inc./Jobs/-in-Enid,OK?uuid=Dow5Yyh%2F9tX5zOgTgZOmbzcSFVc%3D&radius=25","Data Platform Analyst","Enid, OK","https://www.ziprecruiter.com/jobs-search?location=Enid%2COK&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/2817e138.png",""
"Greenlight Financial Technology","https://www.ziprecruiter.com/co/Greenlight-Financial-Technology/Jobs?uuid=haJhP02wuhP2X6zGhUo26CYSuz0%3D&radius=25","Data Analyst","Fort Washington, MD","https://www.ziprecruiter.com/jobs-search?location=Fort+Washington%2CMD&search=Data","· Remote","","","Quick apply"
"ObjectiveHealth","https://www.ziprecruiter.com/co/ObjectiveHealth/Jobs/-in-Franklin,TN?uuid=K0JpIhmTAgJOO%2FIuoEEcb6yj3ls%3D&radius=25","Data Analyst (Databricks)","Franklin, TN","https://www.ziprecruiter.com/jobs-search?location=Franklin%2CTN&search=Data","· On-site +1","","",""
"Flux","https://www.ziprecruiter.com/co/Flux/Jobs/-in-Santa-Fe,NM?uuid=TzTKXlW938icn0V1MlG7wHQ0GoE%3D&radius=25","SME - Data Analyst","Santa Fe, NM","https://www.ziprecruiter.com/jobs-search?location=Santa+Fe%2CNM&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/32dbd8a8.png",""
"Anika Systems","https://www.ziprecruiter.com/co/Anika-Systems/Jobs?uuid=U2AEM3whHQ94XPFqId8sR%2BsaFqk%3D&radius=25","Data Analyst","Leesburg, VA","https://www.ziprecruiter.com/jobs-search?location=Leesburg%2CVA&search=Data","· Remote","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/356dccff.png","Quick apply"
"EquipmentShare","https://www.ziprecruiter.com/co/EquipmentShare/Jobs?uuid=Ly1ZNr2j3yFJT9Ot1gLwG9XEIxA%3D&radius=25","Data Analyst III","Columbia, MO","https://www.ziprecruiter.com/jobs-search?location=Columbia%2CMO&search=Data","· Remote","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/92918077.png",""
"ABC Legal Services","https://www.ziprecruiter.com/co/ABC-Legal-Services/Jobs?uuid=e%2F1JA6Sbsq5SJEOto6AT4tSa1Fc%3D&radius=25","Data Entry Specialist, Remote","Alabama, NY","https://www.ziprecruiter.com/jobs-search?location=Alabama%2CNY&search=Data","· Remote","$15/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/f6fdfbbf.png",""
"Momentum Life Sciences","https://www.ziprecruiter.com/co/Momentum-Life-Sciences/Jobs?uuid=&radius=25","Data & Analytics Analyst (Remote)","","","","","",""
"Middle Seat","https://www.ziprecruiter.com/co/Middle-Seat/Jobs?uuid=iD1VrnSizZRKPFHBFGPD1TgQGT8%3D&radius=25","Data Analyst","","","","","",""
"UWHealth","https://www.ziprecruiter.com/co/UWHealth/Jobs/-in-Middleton,WI?uuid=&radius=25","Registry Oncology Data Specialist","Middleton, WI","https://www.ziprecruiter.com/jobs-search?location=Middleton%2CWI&search=Data","· On-site +1","$17.50 - $23.25/hr","",""
"MM International","https://www.ziprecruiter.com/co/MM-International/Jobs?uuid=Z1bMk5p0Q%2BNeXR0kDB3y%2BLGushs%3D&radius=25","Data Analyst - Remote","New York, NY","https://www.ziprecruiter.com/jobs-search?location=New+York%2CNY&search=Data","· Remote","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/6113422f.png","Quick apply"
"Airship","https://www.ziprecruiter.com/co/Airship/Jobs?uuid=yo1BnXwzPlYZW67DINfe06cqF%2F8%3D&radius=25","Data Analyst","","","","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/e375b100.png",""
"Avicado","https://www.ziprecruiter.com/co/Avicado/Jobs?uuid=%2F8grzhwyHt2qAz%2FWlJQEPy0foCY%3D&radius=25","Data Solutions Analyst","","","","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/be4c9412.png",""
"Provider Partners Health Plan","https://www.ziprecruiter.com/co/Provider-Partners-Health-Plan/Jobs?uuid=&radius=25","PT Data Entry Specialist","","","","$15/hr","",""
"Oxbridge Health","https://www.ziprecruiter.com/co/Oxbridge-Health/Jobs?uuid=&radius=25","Data Analyst","","","","","",""
"Wiley","https://www.ziprecruiter.com/co/Wiley/Jobs?uuid=eWUtyWNcnvbipZThP7MVa5U79XU%3D&radius=25","Data Analyst","","","","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/15f3d4b1.png",""
"New American Funding","https://www.ziprecruiter.com/co/New-American-Funding/Jobs/-in-Santa-Ana,CA?uuid=TbEpSYnMNwCU2Kn5jP8HpwHoFjI%3D&radius=25","Data Analyst","Santa Ana, CA","https://www.ziprecruiter.com/jobs-search?location=Santa+Ana%2CCA&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/34ba4f1f.png",""
