"company","job_link","role","location","location_link","remote/on-site","compensation","link","quick_apply"
"QuinStreet","https://www.ziprecruiter.com/co/QuinStreet/Jobs?uuid=J3fK2haM%2B2k3meSf3cvybEXwXfQ%3D&radius=25","Data Analyst","Foster City, CA","https://www.ziprecruiter.com/jobs-search?location=Foster+City%2CCA&search=Data","· Remote","$85K - $100K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/b3dae51b.png",""
"Swoon Staffing","https://www.ziprecruiter.com/co/Swoon-Staffing/Jobs?uuid=60xGcQk1NAQ0%2FSOVAVpk3KnFS64%3D&radius=25","Junior Data Analyst","Houston, TX","https://www.ziprecruiter.com/jobs-search?location=Houston%2CTX&search=Data","· Remote","$45.90/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/4220a31f.png","Quick apply"
"KBTS Technologies, Inc.","https://www.ziprecruiter.com/co/KBTS-Technologies,-Inc./Jobs?uuid=tj5NH80b1BvIhYkjtWNbT59gnLo%3D&radius=25","Data Visualization & Cloud Analytics Engineer","Detroit, MI","https://www.ziprecruiter.com/jobs-search?location=Detroit%2CMI&search=Data","· Remote","$113.10K - $135.90K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/f91acbc4.png",""
"Conflux Systems","https://www.ziprecruiter.com/co/Conflux-Systems/Jobs?uuid=Pc%2FFV57X5oDnPYoe3F8ehpu7dHo%3D&radius=25","Data Engineer","","","","$33/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/936fa02e.png",""
"Apex Informatics","https://www.ziprecruiter.com/co/Apex-Informatics/Jobs?uuid=DxvnlD9DttV0is0sFzmzfzR0EZ4%3D&radius=25","Data Analyst","","","","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/e0876f5a.png",""
"Lancesoft INC","https://www.ziprecruiter.com/co/Lancesoft-INC/Jobs?uuid=ez6hiSXULKEiQ1uTWI5Qko5E3dg%3D&radius=25","Clinical Data Specialist","Minneapolis, MN","https://www.ziprecruiter.com/jobs-search?location=Minneapolis%2CMN&search=Data","· Remote","$45 - $48/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/59c16871.png","Quick apply"
"Right Skale, Inc.","https://www.ziprecruiter.com/co/Right-Skale,-Inc./Jobs?uuid=9kIvJY%2F1AQTvKmV1lIwS5UBKbcQ%3D&radius=25","Data Analyst","","","","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/95f94748.png",""
"NAVA Software Solutions","https://www.ziprecruiter.com/co/NAVA-Software-Solutions/Jobs/-in-Sacramento,CA?uuid=n1oEA82K2qyLILi3FIoIUIi94WM%3D&radius=25","Advisor Data Analyst-Remote","Sacramento, CA","https://www.ziprecruiter.com/jobs-search?location=Sacramento%2CCA&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/2080d595.png",""
"Ad Hoc","https://www.ziprecruiter.com/co/Ad-Hoc/Jobs?uuid=a0yUG0zRH6hLI8dexJYcyO90M98%3D&radius=25","Senior Data Analyst","Washington, DC","https://www.ziprecruiter.com/jobs-search?location=Washington%2CDC&search=Data","· Remote","$97K - $122.40K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/68278099.png",""
"New York State Technology Enterprise Cor","https://www.ziprecruiter.com/co/New-York-State-Technology-Enterprise-Cor/Jobs/-in-Albany,NY?uuid=&radius=25","Senior Consultant - Data Analyst","Albany, NY","https://www.ziprecruiter.com/jobs-search?location=Albany%2CNY&search=Data","· On-site +1","$84.50K - $109.85K/yr","",""
"Exusia","https://www.ziprecruiter.com/co/Exusia/Jobs?uuid=CMvbnNRjlmYOunfguK%2BFqP81Zoc%3D&radius=25","Senior Data Analyst / Tester","","","","$88K - $111.10K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/5f82eab8.png",""
