"job_llink","job_title","country","remote_flag","posted_date","job_description"
"https://jobs.akamai.com/en/sites/CX_1/job/2238/?keyword=engineering&mode=location","Senior Backend Engineer (Data-Focused)","Israel","(Remote)","02/11/2026","We are seeking a highly motivated Senior Software Engineer to join our Data Engineering group.The Centra Data Infrastructure team serves as a vital bridge connecting data from Akamai’s industry-leading microsegmentation product to our cutting-edge AI Data Platform. Our mission is to continuously connect, process, and deliver product data in a way that maximizes its value and drives data-driven product evolution"
"https://jobs.akamai.com/en/sites/CX_1/job/2705/?keyword=engineering&mode=location","Senior II Software Engineer - Akamai Inference Cloud - Remote/Poland","Poland","(Remote)","03/19/2026","As a Senior II Software Engineer, responsibilities include designing and implementing key components of a globally distributed AI inference platform. Work involves building and optimizing systems that deliver OpenAI-compatible endpoints while managing inference workloads across regions. This role demands proficiency in AI/ML systems, effective problem-solving abilities, and skill in delivering dependable software within a complex distributed infrastructure."
"https://jobs.akamai.com/en/sites/CX_1/job/2629/?keyword=engineering&mode=location","Software Development Engineer in Test II","India","(Remote)","03/23/2026","You will be tasked with solving critical software automation and verification problems in a distributed systems environment. Working with developers and other QA teams you will become an expert in system-wide automation infrastructure. You will ensure the exceptional performance of the products used to deliver the world's largest OTT events."
"https://jobs.akamai.com/en/sites/CX_1/job/2527/?keyword=engineering&mode=location","Senior Software Engineer","Poland","(Remote)","03/02/2026","You will contribute to building and evolving a platform that is critical to enterprise customers and strategic internal initiatives."
"https://jobs.akamai.com/en/sites/CX_1/job/2698/?keyword=engineering&mode=location","Senior II Software Engineer Lead - Akamai Inference Cloud - Remote/Poland","Poland","(Remote)","03/19/2026","The Senior II Software Engineer Lead designs and develops foundational features for a global AI inference platform. Responsibilities include CDN, APIs, Kubernetes orchestration, observability, and deployment models. Expertise in distributed systems, cloud-native platforms, and API infrastructure is required to ensure secure, scalable, and reliable solutions. The role also emphasizes collaboration and mentoring within the team environment."
"https://jobs.akamai.com/en/sites/CX_1/job/1353/?keyword=engineering&mode=location","Software Engineer II (ServiceNow Platform)","United States","(Remote)","02/02/2026","As a Software Engineer II, you will work with a diverse group of cross-functional teams to optimize and enhance IT service delivery processes, improve efficiency, and drive continuous improvement using ServiceNow capabilities. The role involves staying current with ServiceNow trends, best practices, and new features, and translating business requirements into effective ServiceNow solutions."
"https://jobs.akamai.com/en/sites/CX_1/job/1696/?keyword=engineering&mode=location","Software Engineer - Talent Pool","Poland","(Remote)","10/14/2025",""
"https://jobs.akamai.com/en/sites/CX_1/job/1983/?keyword=engineering&mode=location","Software Development Engineer in Test II","Poland","(Remote)","01/02/2026","This essential role involves collaborating with network engineering teams to maintain the functionality, performance, and stability of physical networks. Using effective testing strategies throughout the product lifecycle ensures the stability and manageability of networking infrastructure."
"https://jobs.akamai.com/en/sites/CX_1/job/2046/?keyword=engineering&mode=location","Full-stack Software Engineer","Poland","(Remote)","03/10/2026","Our team is collaborative, inclusive, and creative. We develop applications and services to empower our customers. In this role you will gather requirements, design, implement, and maintain services used to provide customer-facing reports and alerts. These features are vital to understand and optimize Akamai products’ performance and consumption."
"https://jobs.akamai.com/en/sites/CX_1/job/2294/?keyword=engineering&mode=location","Senior II Software Engineer","United Kingdom","(Remote)","02/13/2026","As part of our team, you will focus on building highly reliable, scalable and cost-effective storage solutions. Our platform empowers enterprises to create modern solutions to the world’s problems."
"https://jobs.akamai.com/en/sites/CX_1/job/2658/?keyword=engineering&mode=location","Senior Lead Software Engineer II - Remote","United States","(Remote)","03/17/2026","As a Senior Lead Software Engineer II, you will lead a team of developers, build/maintain cloud services/web applications, focusing on FedRAMP standards. Working within a global team on advanced network security solutions, you will guide technical direction, drive architectural decisions, and help the team deliver secure, scalable systems in a dynamic environment."
"https://jobs.akamai.com/en/sites/CX_1/job/2643/?keyword=engineering&mode=location","Software Development Engineer in Test II","Poland","(Remote)","03/17/2026","The SDET II role on the Inference Execution &amp; Runtimes team focuses on quality strategies for the inference runtime stack. Responsibilities involve developing automated testing frameworks to verify model serving accuracy, efficiency, and reliability across diverse architectures and hardware setups. Success requires proficiency in AI inference systems combined with advanced skills in test automation and quality engineering."
"https://jobs.akamai.com/en/sites/CX_1/job/1877/?keyword=engineering&mode=location","Principal Software Engineer - Akamai Inference Cloud (Remote)","United States","(Remote)","11/19/2025","As a Principal Software Engineer, you will serve as a technical leader and architect for our globally distributed AI inference platform. You will drive critical technical decisions, establish architectural patterns, and guide the team in building a platform that delivers OpenAI-compatible endpoints while orchestrating inference workloads across regions at massive scale."
"https://jobs.akamai.com/en/sites/CX_1/job/2626/?keyword=engineering&mode=location","Senior II Software Engineer Lead","United States","(Remote)","03/10/2026","In this role, you will work on optimizing placement of the workload in our growing compute platform. We're a closely-knit team with a focus on agile development and innovative solutions. We encourage and reward curiosity, ingenuity, and technical excellence. If you enjoy working on projects that have a big impact, you'll enjoy working at Akamai!"
"https://jobs.akamai.com/en/sites/CX_1/job/1866/?keyword=engineering&mode=location","Principal Software Engineer - Akamai Inference Cloud - Remote/Poland","Poland","(Remote)","11/21/2025","The Principal Software Engineer will lead and design a globally distributed AI inference platform with OpenAI-compatible endpoints. Responsibilities include making technical decisions, setting architectural patterns, and managing large-scale inference workloads. This position requires broad experience, extensive knowledge of AI/ML systems, and a history of successfully delivering production AI platforms."
