"role","job_link","department","city_1","city_2"
"Product Manager, Workers for Platforms","https://boards.greenhouse.io/cloudflare/jobs/7403148?gh_jid=7403148","Emerging Technology & Incubation","Lisbon, Portugal","London, UK"
"Senior Design Engineer","https://boards.greenhouse.io/cloudflare/jobs/6998777?gh_jid=6998777","Emerging Technology & Incubation","Austin, US","British Columbia, Canada"
"Senior Director, Developer Product Marketing","https://boards.greenhouse.io/cloudflare/jobs/7416879?gh_jid=7416879","Emerging Technology & Incubation","Austin, US","San Francisco, US"
"Senior Manager, Research","https://boards.greenhouse.io/cloudflare/jobs/7314651?gh_jid=7314651","Emerging Technology & Incubation","Austin, US",""
"Senior Software Engineer, AI Applications Tooling","https://boards.greenhouse.io/cloudflare/jobs/6628327?gh_jid=6628327","Emerging Technology & Incubation","Austin, US","Lisbon, Portugal"
"Senior Software Engineer, Durable Objects (DO)","https://boards.greenhouse.io/cloudflare/jobs/5390243?gh_jid=5390243","Emerging Technology & Incubation","Austin, US","London, UK"
"Senior Software Engineer, Storage Infrastructure","https://boards.greenhouse.io/cloudflare/jobs/7629805?gh_jid=7629805","Emerging Technology & Incubation","Austin, US","Seattle, US"
"Senior Software Engineer, Workers Runtime","https://boards.greenhouse.io/cloudflare/jobs/6578726?gh_jid=6578726","Emerging Technology & Incubation","Austin, US","Lisbon, Portugal"
"Senior Systems Engineer, Cloudflare Data Platform","https://boards.greenhouse.io/cloudflare/jobs/7090955?gh_jid=7090955","Emerging Technology & Incubation","Austin, US","London, UK"
"Senior Systems Engineer, Durable Objects DevEx","https://boards.greenhouse.io/cloudflare/jobs/7408167?gh_jid=7408167","Emerging Technology & Incubation","Austin, US","Lisbon, Portugal"
"Senior Systems Engineer, Pipelines","https://boards.greenhouse.io/cloudflare/jobs/7093840?gh_jid=7093840","Emerging Technology & Incubation","Austin, US","London, UK"
"Senior Systems Engineer, Workers AI","https://boards.greenhouse.io/cloudflare/jobs/7764827?gh_jid=7764827","Emerging Technology & Incubation","Austin, US","London, UK"
