"product-link href","media-image__image src","product-link","money-amount__main","price-current__discount-percentage","money-amount__main 2"
"https://www.zara.com/us/en/relaxed-fit-cargo-pants-p00108310.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","RELAXED FIT CARGO PANTS","$ 69.90","-40%","$ 41.94"
"https://www.zara.com/us/en/buckled-leather-clogs-p12702720.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","BUCKLED LEATHER CLOGS","$ 109.00","-40%","$ 65.40"
"https://www.zara.com/us/en/rubberized-crossbody-bag-p13606720.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","RUBBERIZED CROSSBODY BAG","$ 25.90","-40%","$ 15.54"
"https://www.zara.com/us/en/faux-leather-regular-fit-overshirt-p03046545.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","FAUX LEATHER REGULAR FIT OVERSHIRT","$ 99.90","-40%","$ 59.94"
"https://www.zara.com/us/en/faux-leather-regular-fit-overshirt-p03046545.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","FAUX LEATHER REGULAR FIT OVERSHIRT","$ 99.90","-40%","$ 59.94"
"https://www.zara.com/us/en/deck-shoes-p12424720.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","DECK SHOES","$ 99.90","-40%","$ 59.94"
"https://www.zara.com/us/en/purl-knit-sweater-p03284331.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","PURL KNIT SWEATER","$ 59.90","-40%","$ 35.94"
"https://www.zara.com/us/en/comfort-jogger-waist-pants-p06861693.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","COMFORT JOGGER WAIST PANTS","$ 59.90","-40%","$ 35.94"
"https://www.zara.com/us/en/80-down---20-feather-water-repellent-puffer-jacket-origins-p04302212.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","WATER REPELLENT 80% DOWN - 20% FEATHER PUFFER JACKET ORIGINS","$ 169.00","-40%","$ 101.40"
"https://www.zara.com/us/en/relaxed-fit-cargo-pants-p00108310.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","RELAXED FIT CARGO PANTS","$ 69.90","-40%","$ 41.94"
"https://www.zara.com/us/en/faux-leather-bomber-jacket-p03548100.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","FAUX LEATHER BOMBER JACKET","$ 129.00","-40%","$ 77.40"
"https://www.zara.com/us/en/combination-bomber-jacket-p05070321.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","COMBINATION BOMBER JACKET","$ 129.00","-40%","$ 77.40"
"https://www.zara.com/us/en/recco--waterproof-ski-puffer-jacket-p03286401.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","RECCO® WATERPROOF SKI PUFFER JACKET","$ 249.00","-32%","$ 169.00"
"https://www.zara.com/us/en/ski-base-layer-t-shirt-p04388302.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","FIRST LAYER SKI T-SHIRT","$ 49.90","-27%","$ 35.99"
"https://www.zara.com/us/en/retro-style-sneakers-p12259720.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","RETRO STYLE SNEAKERS","$ 59.90","-40%","$ 35.94"
"https://www.zara.com/us/en/relaxed-fit-technical-hoodie-p01437360.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","RELAXED FIT TECHNICAL HOODIE","$ 99.90","-40%","$ 59.94"
"https://www.zara.com/us/en/leather-deck-shoes-p12429720.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","LEATHER DECK SHOES","$ 99.90","-40%","$ 59.94"
"https://www.zara.com/us/en/water-repellent-technical-jacket-with-fleece-p04302350.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","WATER REPELLENT TECHNICAL JACKET WITH FLEECE","$ 99.90","-40%","$ 59.94"
"https://www.zara.com/us/en/rubberized-backpack-p13207720.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","RUBBERIZED BACKPACK","$ 49.90","-40%","$ 29.94"
"https://www.zara.com/us/en/technical-sneakers-p12311720.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","TECHNICAL SNEAKERS","$ 89.90","-40%","$ 53.94"
"https://www.zara.com/us/en/pointed-chelsea-boots-p12002620.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","POINTED CHELSEA BOOTS","$ 79.90","-40%","$ 47.94"
"https://www.zara.com/us/en/recco--waterproof-shell-ski-pants-p03286402.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","RECCO® WATERPROOF SKI SHELL PANTS","$ 169.00","-29%","$ 119.00"
"https://www.zara.com/us/en/recco--waterproof-ski-puffer-shell-pants-p03286400.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","RECCO® WATERPROOF SKI PUFFER SHELL PANTS","$ 169.00","-29%","$ 119.00"
"https://www.zara.com/us/en/washed-straight-fit-pants-p03286405.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","WASHED STRAIGHT FIT PANTS","$ 69.90","-40%","$ 41.94"
"https://www.zara.com/us/en/structured-ski-socks-p03334302.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","TEXTURED SKI SOCKS","$ 25.90","-42%","$ 14.99"
"https://www.zara.com/us/en/compressive-first-layer-ski-tights-p04388303.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","COMPRESSION BASE LAYER SKI TIGHTS","$ 49.90","-27%","$ 35.99"
"https://www.zara.com/us/en/ski-down-feather-pants-80-down---20-feather-p01732311.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","80% DOWN - 20% FEATHER SKI PUFFER PANTS","$ 149.00","-32%","$ 99.99"
"https://www.zara.com/us/en/ski-mid-layer-puffer-jacket-p01732400.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","SKI MID-LAYER PUFFER JACKET","$ 119.00","-32%","$ 79.99"
"https://www.zara.com/us/en/ski-mid-layer-puffer-jacket-p01732400.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","SKI MID-LAYER PADDED JACKET","$ 119.00","-32%","$ 79.99"
"https://www.zara.com/us/en/twill-textured-overshirt-p00706178.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","TWILL TEXTURED OVERSHIRT","$ 119.00","-40%","$ 71.40"
"https://www.zara.com/us/en/long-textured-ski-socks-p03334305.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","LONG TEXTURED SKI SOCKS","$ 29.90","-33%","$ 19.99"
"https://www.zara.com/us/en/technical-padded-jacket-p03833300.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","TECHNICAL PADDED JACKET","$ 99.90","-40%","$ 59.94"
"https://www.zara.com/us/en/chunky-shoes-p12426720.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","CHUNKY SHOES","$ 79.90","-40%","$ 47.94"
"https://www.zara.com/us/en/ski-base-layer-t-shirt-p04388302.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","SKIN-FIT THERMAL BASE LAYER TOP","$ 49.90","-27%","$ 35.99"
