"product-card__link-overlay","product-card__link-overlay href","product-card__hero-image src","colorway href","colorway href 2","product-card__subtitle","product-card__product-count","product-price","product-price 2","product-price__perc","product-card__messaging"
"Nike Sportswear Club","https://www.nike.com/t/sportswear-club-mens-long-sleeve-t-shirt-LJ1QzG/AR5193-235","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/03c59714-5bea-45d0-a1df-812c7364afe4/M+NSW+CLUB+TEE+-+LS.png","https://www.nike.com/t/sportswear-club-mens-long-sleeve-t-shirt-LJ1QzG/AR5193-235","https://www.nike.com/t/sportswear-club-mens-long-sleeve-t-shirt-LJ1QzG/AR5193-301","Men's Long-Sleeve T-Shirt","7 Colors","$30.97","$35","11% off",""
"BYU","https://www.nike.com/t/byu-mens-basketballreplica-jersey-s7MkNO7f/P32818BGYU25-RYL","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/9a46a911-1386-4258-9ae8-992f915dc7b7/NCAA+M+BSKTBL+Rep+JSY.png","","","Men's Basketball Nike College Replica Jersey","","$75.97","$110","31% off",""
"Golden State Warriors Zoned","https://www.nike.com/t/golden-state-warriors-zoned-mens-dri-fit-nba-1-4-zip-hoodie-cclZ8H/HM6483-495","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/a9980d01-13db-4883-b416-4b9b312a153f/GSW+MNK+DF+ZONE+QZ+HD+TOP.png","","","Men's Nike Dri-FIT NBA 1/4-Zip Hoodie","","$92.97","$135","31% off","Recycled Materials"
"Nike College (Norfolk State University)","https://www.nike.com/t/norfolk-state-university-mens-tri-blend-short-sleeve-t-shirt-kn9ZEe9Z/M21372NSUN25-FIR","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d4303588-fa93-4770-8908-82e327a30bdd/HBCU+M+TRI-BLEND+SST.png","","","Men's Tri-Blend Short-Sleeve T-Shirt","","$29.97","$42","28% off",""
"Nike College (Norfolk State University)","https://www.nike.com/t/norfolk-state-university-mens-club-fleece-shorts-nmxaQLh3/M73891NSUN25-BLK","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d8294913-75cb-4030-8237-7351b5fd44f0/HBCU+M+CLUB+FLC+SHORT.png","","","Men's Club Fleece Shorts","","$44.97","$65","30% off",""
"Nike Club","https://www.nike.com/t/club-mens-flow-shorts-S2ZVqL/HV4610-515","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/bc9593de-8f84-4daa-900b-5296a2a234cd/M+NK+CLUB+FLOW+SHORT+SWEET.png","https://www.nike.com/t/club-mens-flow-shorts-S2ZVqL/HV4610-515","https://www.nike.com/t/club-mens-flow-shorts-S2ZVqL/HV4610-353","Men's Flow Shorts","2 Colors","$46.97","$60","21% off","Recycled Materials"
"Nike Swim Breaker Swoosh logo Link","https://www.nike.com/t/swim-breaker-swoosh-logo-link-mens-5-fully-lined-volley-shorts-OJB2HJIE/NESSF505-740","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/b87c0e82-ac5b-4e59-bdb7-6c8800b5fdc2/SWOOSH+LINK+ALL+OVER+EMBROIDER.png","","","Men's 5"" Fully Lined Volley Shorts","","$48.97","$70","30% off",""
"Gonzaga","https://www.nike.com/t/gonzaga-mens-basketballreplica-jersey-1s363t4o/P32818GONZ25-WHT","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/77e2ada3-73e5-42f8-be22-ec40d15500db/NCAA+M+BSKTBL+Rep+JSY.png","https://www.nike.com/t/gonzaga-mens-basketballreplica-jersey-1s363t4o/P32818GONZ25-WHT","https://www.nike.com/t/gonzaga-mens-basketballreplica-jersey-1s363t4o/P32818GONZ25-NVY","Men's Basketball Nike College Replica Jersey","2 Colors","$75.97","$110","31% off",""
"Nike Swim Breaker","https://www.nike.com/t/swim-breaker-mens-9-boxer-volley-shorts-WzKLC20z/NESSF588-656","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/801360b6-dc73-40e1-a5d5-93f2d14be2c9/OCEAN+MERGE+9%22+VOLLEY+SHORT+%28E.png","https://www.nike.com/t/swim-breaker-mens-9-boxer-volley-shorts-WzKLC20z/NESSF588-656","https://www.nike.com/t/swim-breaker-mens-9-boxer-volley-shorts-WzKLC20z/NESSF588-001","Men's 9"" Boxer Volley Shorts","3 Colors","$48.97","$70","30% off",""
"Los Angeles Sparks","https://www.nike.com/t/los-angeles-sparks-mens-wnba-t-shirt-v2XpRRSQ/M11332WLAS-WHT","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/9ea1332a-7ae9-4c29-b671-6b4894c8b8bb/CORE+CTN+SS+TEE.png","","","Men's Nike WNBA T-Shirt","","$24.97","$35","28% off",""
"Boston Celtics Essential","https://www.nike.com/t/boston-celtics-essential-mens-nba-t-shirt-ZhBWKR/HQ0517-312","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/3a62b1fb-dd86-457e-bdc1-901e40083d9c/BOS+M+NK+ES+COL+SS+TEE.png","","","Men's Nike NBA T-Shirt","","$28.97","$37","21% off",""
"Indiana Pacers Essentials","https://www.nike.com/t/indiana-pacers-essentials-mens-nba-t-shirt-XBbRTk/HQ9051-728","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/1fa52ec2-0ad1-461b-a2af-0dbb77b250f1/IND+M+NK+ES+SS+TEE.png","","","Men's Nike NBA T-Shirt","","$25.97","$37","29% off",""
"Arkansas Club Fleece","https://www.nike.com/t/arkansas-club-fleece-menspullover-hoodie-kBEy4c7v/M31777ARKS-CRM","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/f10828bf-5a05-4e40-a55a-9bb72c6a0ab3/CLUB+FLEECE+PULLOVER+HOODIE.png","","","Men's Nike College Pullover Hoodie","","$55.97","$80","30% off",""
"Philadelphia 76ers Essential","https://www.nike.com/t/philadelphia-76ers-essential-mens-nba-t-shirt-R79hjp/FJ0254-657","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/20f74974-1d63-4a21-aedc-880fd9495c5f/PHI+M+NK+ES+LOGO1+SS+TEE.png","","","Men's Nike NBA T-Shirt","","$28.97","$37","21% off",""
"LA Clippers Club","https://www.nike.com/t/la-clippers-club-mens-nba-practice-pullover-hoodie-flwJx5/HM7188-419","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/07c0e051-4348-41f4-b327-13f33171c1c6/LAC+MNK+CLUB+PRC+FLC+PO+HDY.png","","","Men's Nike NBA Practice Pullover Hoodie","","$58.97","$85","30% off",""
"Nike College (Norfolk State University)","https://www.nike.com/t/norfolk-state-university-mens-club-fleece-crew-neck-sweatshirt-puBoM8Hl/M33778NSUN25-DGR","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/31dab6c8-c7ed-4146-a588-f68dfee7f579/HBCU+M+CLUB+FLC+PO+CREW.png","","","Men’s Club Fleece Crew-Neck Sweatshirt","","$51.97","$75","30% off",""
"Nike Wool Classics","https://www.nike.com/t/wool-classics-short-sleeve-t-shirt-9zm2S3/FV4889-203","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/cb507f3f-cf12-4d9e-b8b0-adfd7b218bf5/U+NK+WOOL+CLASSICS+SS+TEE.png","https://www.nike.com/t/wool-classics-short-sleeve-t-shirt-9zm2S3/FV4889-203","https://www.nike.com/t/wool-classics-short-sleeve-t-shirt-9zm2S3/FV4889-492","Short-Sleeve T-Shirt","2 Colors","$48.97","$70","30% off",""
"Nike Field General","https://www.nike.com/t/field-general-mens-shoes-MMjfAd3J/IQ1046-001","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/2f9d534b-ca61-45c7-aafe-ca2fc4412bf2/NIKE+FIELD+GENERAL.png","https://www.nike.com/t/field-general-mens-shoes-MMjfAd3J/IQ1046-001","https://www.nike.com/t/field-general-mens-shoes-MMjfAd3J/HF3165-002","Men's Shoes","10 Colors","$78.97","$115","31% off",""
"Utah Jazz Icon Edition 2025/26","https://www.nike.com/t/utah-jazz-icon-edition-2025-26-mens-dri-fit-nba-swingman-shorts-5MBcMj/HQ7514-504","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/214c68a8-3889-43ff-9187-8b8352d5a24d/UTA+MNK+DF+SWGMN+SHORT+ICN+25.png","","","Men's Nike Dri-FIT NBA Swingman Shorts","","$58.97","$85","30% off","Recycled Materials"
"Phoenix Suns Essentials","https://www.nike.com/t/phoenix-suns-essentials-mens-nba-t-shirt-qRsDGD/HQ9063-566","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/7bf58d9e-1873-43b3-9cd2-04c598d4210d/PHX+M+NK+ES+SS+TEE.png","","","Men's Nike NBA T-Shirt","","$28.97","$37","21% off",""
"Chicago Bulls","https://www.nike.com/t/chicago-bulls-mens-dri-fit-nba-1-4-zip-long-sleeve-top-CfLxtj/HM7543-010","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/0a5fe416-824c-42a7-99c5-9a328249264f/CHI+MNK+DF+LS+QZ+TOP.png","","","Men's Nike Dri-FIT NBA 1/4-Zip Long-Sleeve Top","","$58.97","$85","30% off",""
"LA Clippers Courtside ""Halloween""","https://www.nike.com/t/la-clippers-courtside-halloween-mens-nba-max90-t-shirt-T2ol723s/IH7634-010","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/4a08fa9c-597b-4fa6-8f58-f557536c62e0/LAC+M+NK+CTS+HAL+OGC+M90+TEE.png","","","Men's Nike NBA Max90 T-Shirt","","$31.97","$45","29% off",""
"Indiana Pacers Statement Essentials","https://www.nike.com/t/indiana-pacers-statement-essentials-mens-jordan-nba-fleece-crew-neck-sweatshirt-L2rGPs/HM7586-728","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/e977b904-bfc0-4e3e-8515-d29a06f1ef98/IND+M+J+FLC+CREW+LOGO+ST+25.png","","","Men's Jordan NBA Fleece Crew-Neck Sweatshirt","","$51.97","$75","30% off",""
